Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cm2),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
1068.126096,0.651,0.646,0.64,0.648,0.64,3.225,0.70505,70.505,27.806,41.163,42.149,51.536,53.777,55.426,1299.929,1269.147,1297.449,1284.287,4.795,2.026,23.038,21.194,2.01,50.221
1068.134469,0.652,0.648,0.641,0.649,0.641,3.231,0.70505,70.505,27.801,41.039,42.214,51.629,53.828,55.468,1301.237,1270.626,1303.266,1289.983,4.794,2.068,23.036,21.189,2.012,49.864
1068.142876,0.651,0.647,0.64,0.648,0.639,3.225,0.70505,70.505,27.803,40.939,42.275,51.559,53.714,55.322,1300.27,1270.512,1304.749,1291.749,4.793,2.149,23.036,21.191,2.004,50.562
1068.151264,0.652,0.648,0.64,0.649,0.641,3.23,0.70481,70.481,27.798,41.253,42.293,51.604,53.783,55.452,1301.522,1270.911,1299.331,1286.395,4.794,2.129,23.039,21.187,2.005,49.954
1068.159639,0.653,0.649,0.641,0.649,0.641,3.233,0.70486,70.486,27.8,41.172,42.253,51.615,53.815,55.461,1301.294,1270.171,1296.194,1283.376,4.795,2.126,23.036,21.189,2.005,49.921
1068.168025,0.651,0.647,0.64,0.648,0.64,3.226,0.70481,70.481,27.803,41.035,42.23,51.608,53.789,55.462,1300.612,1270.74,1295.339,1283.091,4.794,2.028,23.038,21.185,2.005,49.948
1068.176416,0.651,0.647,0.64,0.648,0.64,3.226,0.70496,70.496,27.813,41.254,42.209,51.587,53.778,55.477,1300.156,1270.398,1302.239,1289.755,4.793,2.047,23.039,21.13,2.006,49.749
1068.184823,0.652,0.648,0.64,0.649,0.64,3.229,0.70471,70.471,27.83,41.165,42.128,51.6,53.611,55.484,1301.237,1271.024,1305.718,1293.401,4.796,2.046,23.036,21.189,1.996,49.705
1068.193198,0.652,0.648,0.641,0.649,0.64,3.23,0.70476,70.476,27.807,41.129,42.1,51.617,53.761,55.395,1301.465,1269.886,1301.498,1288.844,4.794,2.149,23.036,21.128,2.004,50.001
1068.201609,0.652,0.648,0.641,0.649,0.641,3.231,0.70496,70.496,27.792,41.069,42.142,51.576,53.766,55.41,1300.725,1269.488,1297.734,1284.572,4.794,2.129,23.036,21.135,2.005,50.027
1068.20998,0.652,0.648,0.64,0.648,0.641,3.229,0.70501,70.501,27.801,41.482,42.226,51.577,53.821,55.478,1299.645,1269.26,1295.396,1282.237,4.793,2.109,23.038,21.132,2.008,49.867
1068.218389,0.652,0.647,0.64,0.648,0.64,3.227,0.70501,70.501,27.833,41.262,42.249,51.516,53.642,55.234,1299.758,1269.374,1297.05,1284.344,4.795,2.048,23.039,21.179,1.989,50.505
1068.226755,0.652,0.647,0.64,0.648,0.64,3.227,0.70486,70.486,27.829,41.144,42.292,51.547,53.744,55.422,1300.612,1270.398,1302.068,1288.958,4.794,2.046,23.038,21.187,1.997,50.285
1068.235149,0.652,0.647,0.64,0.648,0.641,3.228,0.70505,70.505,27.807,41.081,42.365,51.538,53.778,55.445,1298.052,1267.724,1306.231,1292.603,4.792,2.068,23.036,21.118,2.003,50.3
1068.243539,0.652,0.648,0.64,0.648,0.641,3.229,0.70496,70.496,27.829,41.332,42.368,51.576,53.82,55.463,1301.01,1269.943,1300.243,1287.306,4.796,2.128,23.015,21.122,2.006,50.146
1068.251932,0.65,0.646,0.638,0.646,0.639,3.219,0.70496,70.496,27.824,41.276,42.337,51.403,53.248,54.921,1300.782,1269.943,1296.137,1283.433,4.796,2.128,23.038,21.134,1.997,51.606
1068.260334,0.651,0.646,0.639,0.647,0.64,3.223,0.70491,70.491,27.818,41.503,42.347,51.548,53.7,55.355,1300.27,1270.228,1294.312,1281.097,4.797,2.088,23.036,21.191,2,50.513
1068.268704,0.651,0.647,0.639,0.647,0.64,3.224,0.70486,70.486,27.829,41.318,42.315,51.53,53.7,55.363,1300.896,1270.455,1300.015,1286.736,4.795,2.046,23.028,21.189,2.004,50.301
1068.27711,0.652,0.648,0.641,0.648,0.64,3.229,0.70476,70.476,27.829,41.241,42.22,51.575,53.745,55.411,1301.01,1270.455,1302.639,1290.097,4.793,2.068,23.034,21.124,2.006,49.996
1068.285488,0.653,0.649,0.641,0.648,0.641,3.232,0.70476,70.476,27.832,41.05,42.209,51.604,53.81,55.467,1299.531,1269.033,1305.718,1292.318,4.795,2.069,23.036,21.13,2.008,50.038
1068.293896,0.652,0.647,0.64,0.647,0.64,3.226,0.70496,70.496,27.826,40.996,42.276,51.548,53.339,55.239,1299.815,1269.659,1300.015,1286.395,4.796,2.128,23.036,21.135,2.002,50.691
1068.302284,0.652,0.647,0.64,0.648,0.641,3.228,0.70491,70.491,27.826,41.244,42.311,51.545,53.765,55.399,1298.052,1267.951,1296.422,1283.148,4.796,2.109,23.038,21.137,2.003,50.108
1068.310671,0.652,0.648,0.641,0.648,0.641,3.23,0.70476,70.476,27.827,41.082,42.324,51.553,53.759,55.419,1300.555,1269.431,1295.111,1282.009,4.797,2.047,23.036,21.132,2.008,50.139
1068.319061,0.652,0.648,0.641,0.649,0.641,3.231,0.70491,70.491,27.829,40.96,42.333,51.562,53.824,55.458,1300.953,1269.431,1300.072,1287.705,4.795,2.068,23.039,21.132,2.008,50.209
1068.327432,0.652,0.647,0.64,0.648,0.641,3.228,0.70486,70.486,27.845,41.258,42.336,51.601,53.584,55.328,1299.588,1269.431,1304.578,1291.635,4.795,2.069,22.969,21.115,2.008,50.338
1068.335827,0.652,0.647,0.64,0.648,0.64,3.227,0.70491,70.491,27.836,41.161,42.315,51.629,53.805,55.448,1300.953,1270.569,1303.665,1291.065,4.795,2.149,23.036,21.124,2.007,50.133
1068.344214,0.651,0.647,0.64,0.647,0.64,3.225,0.70491,70.491,27.827,41.088,42.295,51.644,53.811,55.475,1301.692,1271.423,1299.274,1286.565,4.794,2.128,23.036,21.12,2.01,49.931
1068.352618,0.652,0.647,0.64,0.648,0.641,3.228,0.70496,70.496,27.835,40.968,42.217,51.656,53.847,55.498,1301.294,1270.74,1296.251,1283.148,4.797,2.109,23.039,21.192,2.004,50.02
1068.361014,0.652,0.647,0.64,0.648,0.641,3.228,0.70496,70.496,27.852,40.866,42.22,51.596,53.787,55.415,1301.692,1271.537,1294.426,1281.781,4.797,2.068,23.036,21.181,2.007,50.092
1068.369381,0.651,0.646,0.639,0.647,0.64,3.223,0.70466,70.466,27.85,41.117,42.191,51.65,53.816,55.477,1300.725,1270.683,1300.586,1287.875,4.792,2.046,23.036,21.135,2.008,49.96
1068.37777,0.653,0.648,0.641,0.649,0.642,3.233,0.70491,70.491,27.858,40.953,42.23,51.656,53.631,55.507,1301.749,1270.342,1304.977,1292.204,4.795,2.069,23.038,21.126,1.992,49.9
1068.38616,0.653,0.648,0.641,0.649,0.641,3.232,0.70471,70.471,27.858,40.985,42.281,51.584,53.751,55.335,1302.944,1271.081,1301.783,1288.844,4.794,2.15,23.036,21.187,2.009,50.333
1068.394569,0.653,0.648,0.64,0.648,0.641,3.23,0.70481,70.481,27.858,41.183,42.316,51.576,53.705,55.398,1300.953,1270.398,1297.791,1284.287,4.795,2.128,23.038,21.194,2.011,50.237
1068.402946,0.652,0.648,0.64,0.648,0.641,3.229,0.70496,70.496,27.858,41.109,42.331,51.55,53.77,55.44,1300.612,1270,1294.54,1281.838,4.795,2.109,23.034,21.191,2.009,50.152
1068.411331,0.653,0.648,0.641,0.648,0.642,3.232,0.70505,70.505,27.853,40.968,42.311,51.576,53.829,55.483,1300.896,1269.716,1300.015,1286.565,4.795,2.048,23.039,21.187,2.012,49.99
1068.419743,0.652,0.646,0.641,0.648,0.641,3.228,0.70491,70.491,27.853,40.831,42.322,51.44,53.291,54.949,1300.384,1269.602,1305.034,1291.179,4.795,2.068,23.038,21.196,1.988,51.376
1068.428107,0.652,0.648,0.64,0.647,0.641,3.228,0.70501,70.501,27.852,40.838,42.256,51.504,53.742,55.364,1300.782,1270.057,1301.327,1287.989,4.797,2.149,23.034,21.156,1.989,50.065
1068.436503,0.652,0.647,0.641,0.648,0.641,3.229,0.70486,70.486,27.853,41.092,42.183,51.545,53.721,55.367,1300.725,1269.886,1297.677,1283.945,4.793,2.131,23.036,21.126,1.993,50.07
1068.44491,0.652,0.647,0.64,0.648,0.641,3.228,0.70496,70.496,27.868,41.01,42.152,51.577,53.799,55.448,1300.043,1269.431,1294.369,1281.838,4.795,2.108,23.036,21.192,1.998,49.921
1068.453283,0.652,0.646,0.64,0.648,0.64,3.226,0.70476,70.476,27.855,40.911,42.151,51.647,53.846,55.489,1298.962,1269.147,1299.046,1286.395,4.797,2.046,23.038,21.124,2.004,49.727
1068.461666,0.652,0.647,0.64,0.648,0.64,3.227,0.70486,70.486,27.861,41.137,42.203,51.516,53.662,55.252,1300.043,1269.829,1304.92,1292.147,4.797,2.046,23.038,21.192,1.997,50.768
1068.470059,0.653,0.647,0.641,0.648,0.64,3.229,0.70481,70.481,27.864,41.529,42.305,51.579,53.761,55.434,1300.782,1269.602,1302.239,1289.926,4.815,2.149,23.036,21.13,2.007,50.131
1068.478468,0.652,0.646,0.641,0.648,0.64,3.227,0.70491,70.491,27.849,41.367,42.304,51.581,53.816,55.447,1299.417,1268.976,1296.651,1283.661,4.797,2.128,23.036,21.118,2.008,50.062
1068.48684,0.651,0.645,0.64,0.647,0.64,3.223,0.70481,70.481,27.868,41.23,42.293,51.597,53.731,55.401,1300.156,1270.455,1294.255,1281.895,4.795,2.069,23.038,21.116,2.001,50.224
1068.495232,0.653,0.647,0.641,0.649,0.641,3.231,0.70501,70.501,27.864,41.019,42.279,51.615,53.846,55.475,1302.659,1270.74,1302.182,1289.926,4.797,2.047,23.036,21.189,2.008,50.074
1068.503635,0.652,0.647,0.64,0.648,0.641,3.228,0.70481,70.481,27.852,41.205,42.281,51.595,53.632,55.328,1301.067,1270.114,1305.832,1293.514,4.796,2.09,23.041,21.192,2.006,50.364
1068.512006,0.652,0.647,0.64,0.648,0.64,3.227,0.70486,70.486,27.862,41.133,42.217,51.625,53.827,55.479,1300.896,1270.512,1300.015,1287.875,4.795,2.127,23.036,21.135,2.008,49.905
1068.520396,0.651,0.646,0.639,0.648,0.64,3.224,0.70481,70.481,27.855,41.078,42.174,51.632,53.692,55.442,1301.522,1271.707,1296.765,1284.059,4.796,2.112,23.038,21.194,2.001,49.913
1068.528788,0.652,0.647,0.64,0.648,0.641,3.228,0.70481,70.481,27.855,41.371,42.119,51.585,53.823,55.507,1301.749,1270.285,1294.312,1281.097,4.796,2.11,23.036,21.162,2.004,49.797
1068.537195,0.652,0.647,0.641,0.648,0.641,3.229,0.70486,70.486,27.878,41.184,42.134,51.574,53.791,55.44,1300.839,1269.829,1298.932,1285.654,4.795,2.068,23.038,21.128,2.004,50.108
1068.545571,0.652,0.646,0.64,0.648,0.64,3.226,0.70481,70.481,27.861,41.115,42.194,51.597,53.847,55.499,1301.692,1271.081,1301.156,1288.616,4.793,2.088,23.038,21.185,2.008,49.986
1068.553962,0.652,0.647,0.64,0.648,0.641,3.228,0.70501,70.501,27.859,41.032,42.23,51.483,53.724,55.308,1300.555,1269.602,1303.494,1290.439,4.796,2.091,23.039,21.196,2.001,50.459
1068.562365,0.653,0.647,0.64,0.648,0.64,3.228,0.70466,70.466,27.882,40.905,42.301,51.514,53.74,55.392,1302.09,1270.626,1305.319,1292.261,4.797,2.088,23.038,21.13,2.005,50.468
1068.570753,0.653,0.647,0.641,0.649,0.641,3.231,0.70496,70.496,27.865,41.257,42.316,51.54,53.778,55.448,1298.45,1267.838,1300.072,1287.705,4.796,2.148,23.039,21.191,2.005,50.137
1068.579143,0.651,0.646,0.639,0.647,0.64,3.223,0.70481,70.481,27.875,41.106,42.301,51.625,53.836,55.464,1299.929,1270.512,1296.708,1283.888,4.797,2.129,23.036,21.196,2.007,50.019
1068.587535,0.651,0.645,0.639,0.647,0.64,3.222,0.70486,70.486,27.876,41.03,42.24,51.578,53.736,55.362,1300.043,1269.943,1293.913,1281.496,4.794,2.113,23.036,21.134,1.997,50.079
1068.595921,0.651,0.646,0.64,0.648,0.64,3.225,0.70476,70.476,27.89,40.929,42.192,51.617,53.82,55.468,1299.929,1269.716,1301.555,1288.901,4.794,2.046,23.036,21.191,2.008,49.969
1068.604294,0.652,0.646,0.64,0.648,0.64,3.226,0.70505,70.505,27.887,41.2,42.174,51.623,53.648,55.507,1300.156,1269.886,1306.688,1294.141,4.793,2.091,23.036,21.13,1.995,49.765
1068.612685,0.651,0.645,0.639,0.648,0.64,3.223,0.70496,70.496,27.884,41.067,42.114,51.574,53.771,55.417,1300.27,1269.659,1299.673,1286.793,4.795,2.149,23.036,21.13,2.002,49.91
1068.621094,0.652,0.646,0.639,0.648,0.64,3.225,0.7051,70.51,27.876,40.988,42.085,51.59,53.801,55.447,1300.043,1269.431,1295.51,1283.148,4.795,2.127,23.039,21.181,2.002,49.944
1068.629488,0.653,0.647,0.64,0.649,0.641,3.23,0.70476,70.476,27.896,41.224,42.172,51.62,53.71,55.504,1300.782,1270.228,1294.198,1280.87,4.797,2.09,23.036,21.196,1.997,50.126
1068.637853,0.652,0.645,0.639,0.648,0.64,3.224,0.70491,70.491,27.897,41.445,42.272,51.582,53.787,55.392,1299.986,1269.602,1300.015,1287.591,4.795,2.051,23.038,21.13,2.007,50.279
1068.646242,0.653,0.647,0.641,0.649,0.641,3.231,0.70491,70.491,27.894,41.266,42.253,51.632,53.775,55.436,1299.417,1268.919,1304.178,1291.179,4.797,2.048,23.038,21.187,2.008,50.116
1068.654632,0.653,0.648,0.641,0.648,0.641,3.231,0.70471,70.471,27.904,41.206,42.232,51.65,53.84,55.468,1298.507,1268.122,1303.494,1290.951,4.795,2.171,23.036,21.128,2.009,50.001
1068.663022,0.651,0.646,0.639,0.647,0.64,3.223,0.70476,70.476,27.905,41.146,42.215,51.513,53.58,55.096,1297.483,1267.781,1296.765,1283.888,4.795,2.127,23.038,21.135,2.009,50.908
1068.671411,0.652,0.647,0.64,0.648,0.641,3.228,0.70476,70.476,27.896,40.983,42.204,51.571,53.735,55.398,1299.986,1269.26,1294.312,1280.927,4.811,2.068,23.036,21.132,2.011,50.239
1068.679801,0.653,0.646,0.64,0.648,0.641,3.228,0.70496,70.496,27.913,40.872,42.211,51.552,53.775,55.395,1299.189,1268.065,1300.186,1287.135,4.795,2.046,23.036,21.132,2.012,50.154
1068.688195,0.653,0.647,0.641,0.649,0.642,3.232,0.70491,70.491,27.907,40.86,42.154,51.594,53.82,55.457,1299.417,1267.439,1304.806,1291.122,4.796,2.069,23.034,21.122,2.012,49.914
1068.696601,0.652,0.647,0.64,0.649,0.641,3.229,0.70496,70.496,27.905,41.161,42.105,51.629,53.146,55.5,1301.124,1269.317,1302.924,1290.04,4.796,2.17,23.036,21.124,1.997,49.896
1068.704969,0.652,0.647,0.64,0.648,0.641,3.228,0.70491,70.491,27.897,40.967,42.169,51.522,53.76,55.344,1301.465,1269.545,1297.734,1284.515,4.795,2.108,23.036,21.128,2.006,50.43
1068.71338,0.652,0.647,0.64,0.648,0.641,3.228,0.70471,70.471,27.904,41.23,42.264,51.563,53.745,55.373,1299.36,1268.35,1295.453,1282.123,4.816,2.128,23.036,21.128,2.008,50.351
1068.721769,0.651,0.646,0.639,0.647,0.64,3.223,0.70486,70.486,27.897,41.128,42.334,51.614,53.795,55.429,1300.213,1269.943,1297.734,1285.198,4.796,2.046,23.036,21.135,2.009,50.334
1068.73014,0.652,0.647,0.64,0.648,0.641,3.228,0.70476,70.476,27.91,40.987,42.385,51.657,53.857,55.482,1299.929,1269.488,1302.467,1289.926,4.793,2.046,23.036,21.132,2.011,50.217
1068.73853,0.651,0.646,0.639,0.647,0.64,3.223,0.70471,70.471,27.916,40.885,42.391,51.719,53.8,55.408,1300.213,1270.285,1305.718,1292.318,4.796,2.068,23.039,21.192,2.005,50.327
1068.746939,0.651,0.646,0.64,0.647,0.64,3.224,0.70481,70.481,27.911,41.182,42.359,51.667,53.84,55.468,1298.564,1269.26,1300.015,1287.192,4.796,2.131,23.036,21.134,2.007,50.012
1068.75533,0.651,0.646,0.639,0.647,0.64,3.223,0.70491,70.491,27.914,41.033,42.311,51.602,53.583,55.264,1299.417,1269.772,1296.365,1283.831,4.796,2.127,23.038,21.189,1.997,50.456
1068.763699,0.652,0.647,0.641,0.649,0.642,3.231,0.70476,70.476,27.905,42.263,42.269,51.613,53.792,55.423,1300.555,1269.545,1294.712,1282.407,4.816,2.089,23.038,21.198,2.004,49.976
1068.772109,0.651,0.647,0.64,0.648,0.64,3.226,0.70476,70.476,27.933,41.191,42.2,51.634,53.801,55.462,1301.408,1271.309,1299.844,1286.736,4.793,2.068,23.036,21.185,2.009,49.849
1068.780479,0.652,0.647,0.64,0.648,0.641,3.228,0.70481,70.481,27.925,41.08,42.145,51.672,53.801,55.485,1301.522,1270.854,1302.525,1289.983,4.795,2.068,23.036,21.128,2.004,49.756
1068.788868,0.651,0.647,0.64,0.648,0.641,3.227,0.70486,70.486,27.922,40.992,42.148,51.635,53.619,55.463,1300.953,1269.886,1304.578,1291.863,4.795,2.09,23.036,21.145,2.004,49.912
1068.797259,0.652,0.647,0.64,0.648,0.641,3.228,0.70491,70.491,27.919,40.883,42.224,51.64,53.818,55.47,1299.246,1269.147,1302.467,1289.186,4.794,2.129,23.036,21.149,2.007,50.116
1068.805665,0.651,0.647,0.64,0.648,0.641,3.227,0.70486,70.486,27.904,40.902,42.296,51.564,53.515,55.176,1301.408,1270.171,1297.734,1284.173,4.795,2.13,23.036,21.187,1.997,50.742
1068.814038,0.653,0.648,0.641,0.649,0.641,3.232,0.70501,70.501,27.913,41.144,42.319,51.6,53.761,55.407,1299.986,1268.748,1295.51,1282.692,4.797,2.113,23.038,21.128,2.006,50.225
1068.822446,0.652,0.648,0.641,0.649,0.641,3.231,0.70476,70.476,27.933,41.018,42.321,51.608,53.76,55.412,1300.839,1269.26,1295.396,1282.066,4.796,2.027,23.036,21.196,2.008,50.042
1068.83084,0.652,0.648,0.641,0.648,0.641,3.23,0.70491,70.491,27.927,40.908,42.255,51.63,53.814,55.469,1299.872,1269.26,1302.41,1289.983,4.796,2.057,23.036,21.166,2.01,49.91
1068.839227,0.652,0.647,0.641,0.649,0.641,3.23,0.70496,70.496,27.931,41.159,42.249,51.567,53.699,55.33,1299.815,1269.431,1306.06,1293.344,4.793,2.109,23.036,21.132,2.008,50.3
1068.847599,0.651,0.645,0.64,0.648,0.64,3.224,0.70491,70.491,27.934,41.113,42.224,51.723,53.801,55.45,1301.237,1271.138,1298.875,1285.426,4.795,2.15,23,21.132,2.008,50.017
1068.855987,0.652,0.646,0.64,0.648,0.64,3.226,0.70461,70.461,27.911,41.055,42.209,51.695,53.838,55.475,1300.839,1270.74,1295.339,1281.952,4.795,2.111,23.038,21.187,2.008,49.994
1068.864378,0.652,0.647,0.64,0.648,0.641,3.228,0.7051,70.51,27.928,40.923,42.181,51.685,53.87,55.495,1301.692,1270.683,1297.506,1284.344,4.794,2.027,23.038,21.134,2.004,49.929
1068.872768,0.651,0.646,0.639,0.647,0.64,3.223,0.70476,70.476,27.937,40.868,42.197,51.649,53.804,55.423,1301.067,1271.024,1302.296,1288.958,4.795,2.068,23.036,21.137,1.999,50.168
1068.881158,0.652,0.646,0.639,0.647,0.64,3.224,0.70486,70.486,27.93,41.108,42.22,51.647,53.828,55.465,1299.474,1269.659,1305.832,1292.375,4.793,2.069,23.036,21.185,2.004,49.963
1068.889546,0.653,0.648,0.641,0.648,0.641,3.231,0.70491,70.491,27.927,41.056,42.229,51.676,53.828,55.509,1301.123,1270.512,1300.129,1287.021,4.796,2.148,23.045,21.198,1.997,49.826
1068.897936,0.651,0.647,0.64,0.646,0.64,3.224,0.70496,70.496,27.933,41.366,42.287,51.568,53.762,55.375,1301.522,1270.967,1296.365,1283.205,4.795,2.126,23.038,21.139,2.001,50.416
1068.906345,0.653,0.648,0.641,0.648,0.641,3.231,0.70491,70.491,27.945,41.219,42.325,51.58,53.767,55.392,1302.83,1271.821,1294.598,1282.066,4.815,2.047,23.038,21.185,2.008,50.106
1068.914716,0.652,0.647,0.641,0.647,0.64,3.227,0.70491,70.491,27.923,41.131,42.299,51.643,53.825,55.471,1300.953,1270.797,1301.099,1288.217,4.795,2.046,23.038,21.198,2.008,50.112
1068.923105,0.652,0.646,0.641,0.648,0.641,3.228,0.70481,70.481,27.931,41.008,42.278,51.607,53.77,55.428,1301.067,1270.285,1304.749,1291.977,4.795,2.068,23.036,21.134,2.008,50.105
1068.931496,0.653,0.648,0.641,0.648,0.641,3.231,0.70491,70.491,27.928,40.982,42.247,51.616,53.839,55.47,1301.692,1270.512,1301.156,1287.819,4.795,2.171,23.036,21.196,2.008,50.084
1068.939884,0.652,0.647,0.639,0.646,0.64,3.224,0.70505,70.505,27.928,41.231,42.221,51.545,53.646,55.145,1299.474,1269.943,1296.879,1283.774,4.795,2.127,23.039,21.128,2.004,50.93
1068.948276,0.651,0.645,0.639,0.646,0.64,3.221,0.70466,70.466,27.93,42.404,42.237,51.578,53.71,55.368,1300.156,1270.228,1294.312,1280.927,4.797,2.07,23.038,21.128,2.006,50.576
1068.956663,0.652,0.647,0.641,0.648,0.641,3.229,0.70505,70.505,27.927,41.314,42.327,51.582,53.737,55.428,1301.522,1270.683,1300.928,1288.673,4.777,2.047,23.036,21.173,2.008,50.481
1068.965053,0.652,0.647,0.64,0.648,0.64,3.227,0.70486,70.486,27.942,41.166,42.36,51.613,53.8,55.461,1301.806,1271.423,1305.034,1292.375,4.777,2.068,23.039,21.141,2.008,50.407
1068.973444,0.653,0.648,0.641,0.648,0.641,3.231,0.70491,70.491,27.93,41.11,42.385,51.619,53.833,55.488,1299.417,1268.976,1301.213,1288.559,4.794,2.171,23.036,21.198,2.006,50.216
1068.981831,0.652,0.647,0.64,0.648,0.64,3.227,0.70471,70.471,27.927,41.084,42.348,51.567,53.737,55.35,1301.067,1270.342,1295.681,1282.464,4.795,2.128,23.036,21.194,2.001,50.474
1068.990223,0.651,0.646,0.639,0.647,0.64,3.223,0.70486,70.486,27.922,40.937,42.356,51.616,53.768,55.435,1301.749,1271.65,1296.594,1283.547,4.795,2.027,23.036,21.191,2.005,50.313
1068.998613,0.653,0.648,0.641,0.649,0.641,3.232,0.70481,70.481,27.936,41.162,42.304,51.603,53.803,55.457,1302.602,1271.252,1303.038,1290.097,4.797,2.068,23.034,21.191,2.008,50.014
1069.007003,0.652,0.647,0.64,0.649,0.641,3.229,0.70501,70.501,27.927,41.052,42.203,51.607,53.72,55.387,1301.01,1270.398,1305.832,1293.002,4.796,2.109,23.038,21.191,1.997,50.026
1069.015391,0.652,0.648,0.641,0.649,0.641,3.231,0.70476,70.476,27.925,41.055,42.143,51.639,53.835,55.493,1301.01,1270.057,1300.015,1286.565,4.796,2.129,23.038,21.187,1.997,49.732
1069.023783,0.651,0.647,0.64,0.648,0.64,3.226,0.70491,70.491,27.92,40.996,42.1,51.583,53.77,55.422,1302.944,1272.106,1296.993,1283.205,4.795,2.111,23.038,21.192,2.008,49.873
1069.032191,0.651,0.647,0.64,0.648,0.64,3.226,0.70486,70.486,27.917,40.936,42.146,51.66,53.806,55.478,1302.318,1272.163,1295.396,1281.61,4.798,2.109,23.038,21.191,2.008,49.932
1069.040578,0.653,0.648,0.641,0.649,0.641,3.232,0.70501,70.501,27.916,41.278,42.191,51.747,53.784,55.486,1301.408,1270.911,1296.08,1283.148,4.795,2.068,23.036,21.2,2.001,49.758
1069.048952,0.651,0.646,0.639,0.648,0.64,3.224,0.70481,70.481,27.922,41.149,42.249,51.67,53.79,55.445,1302.204,1271.935,1300.015,1287.591,4.793,2.068,23.038,21.191,2.006,50.136
1069.057342,0.652,0.647,0.639,0.648,0.64,3.226,0.70491,70.491,27.916,41.458,42.269,51.669,53.801,55.47,1301.237,1270.74,1302.696,1290.837,4.789,2.074,23.038,21.192,2.008,49.952
1069.06575,0.651,0.646,0.639,0.647,0.639,3.222,0.70491,70.491,27.919,41.289,42.244,51.581,53.582,55.205,1302.147,1271.935,1305.319,1293.002,4.815,2.075,23.036,21.192,2.006,50.604
1069.074141,0.651,0.647,0.639,0.648,0.64,3.225,0.70476,70.476,27.907,41.253,42.218,51.577,53.756,55.44,1301.806,1271.309,1301.156,1288.844,4.813,2.149,23.036,21.187,2.008,49.951
1069.08251,0.651,0.646,0.64,0.648,0.64,3.225,0.70505,70.505,27.896,41.56,42.195,51.611,53.777,55.447,1301.863,1271.65,1297.392,1284.515,4.816,2.127,23.039,21.192,2.007,49.932
1069.090902,0.652,0.647,0.64,0.648,0.64,3.227,0.70481,70.481,27.908,41.414,42.149,51.607,53.789,55.476,1301.635,1270.512,1294.255,1281.838,4.795,2.11,23.036,21.135,2.008,49.836
1069.09929,0.652,0.647,0.64,0.648,0.64,3.227,0.70481,70.481,27.901,41.286,42.105,51.61,53.753,55.417,1300.555,1270.455,1299.388,1286.565,4.794,2.046,23.036,21.128,2.005,49.909
1069.107706,0.653,0.648,0.641,0.649,0.641,3.232,0.70496,70.496,27.908,41.126,42.087,51.641,53.805,55.48,1300.782,1269.886,1303.665,1290.78,4.796,2.068,23.034,21.128,1.997,49.767
1069.11607,0.651,0.646,0.639,0.647,0.639,3.222,0.70505,70.505,27.891,41.077,42.096,51.682,53.78,55.456,1299.645,1270.285,1304.235,1291.008,4.795,2.15,23.039,21.132,2,49.985
1069.124458,0.652,0.647,0.64,0.648,0.64,3.227,0.70476,70.476,27.894,40.995,42.183,51.686,53.805,55.487,1299.815,1270.057,1299.103,1285.597,4.793,2.126,23.039,21.13,2.004,50.061
1069.132851,0.652,0.647,0.64,0.648,0.641,3.228,0.70486,70.486,27.885,42.21,42.244,51.647,53.787,55.442,1301.351,1270.171,1296.365,1282.977,4.795,2.109,23.039,21.156,2.008,50.145
1069.141241,0.651,0.646,0.639,0.648,0.64,3.224,0.70471,70.471,27.907,41.2,42.256,51.661,53.766,55.477,1300.498,1270.569,1294.883,1282.066,4.796,2.11,23.036,21.162,2.005,49.975
1069.14963,0.651,0.646,0.64,0.648,0.64,3.225,0.70471,70.471,27.905,41.384,42.233,51.702,53.783,55.518,1300.668,1269.943,1298.704,1285.426,4.793,2.068,23.036,21.126,1.996,49.972
1069.158037,0.651,0.646,0.639,0.647,0.64,3.223,0.70501,70.501,27.897,41.272,42.22,51.555,53.728,55.339,1298.791,1268.407,1302.068,1289.983,4.794,2.069,23.038,21.126,2.004,50.339
1069.16641,0.652,0.647,0.641,0.649,0.641,3.23,0.70496,70.496,27.888,41.15,42.195,51.594,53.708,55.407,1300.27,1269.659,1305.433,1292.261,4.796,2.068,23.038,21.134,2.008,50.123
1069.174798,0.651,0.646,0.64,0.648,0.64,3.225,0.70466,70.466,27.899,41.119,42.171,51.652,53.765,55.432,1299.588,1269.545,1301.156,1287.932,4.795,2.148,23.036,21.177,2.008,50.055
1069.183206,0.651,0.646,0.64,0.648,0.64,3.225,0.70486,70.486,27.876,41.398,42.171,51.69,53.786,55.47,1301.237,1271.081,1296.536,1283.034,4.796,2.126,23.038,21.158,2.008,49.87
1069.191601,0.651,0.646,0.64,0.648,0.64,3.225,0.70476,70.476,27.887,41.28,42.192,51.666,53.721,55.364,1301.408,1271.195,1294.54,1281.838,4.797,2.111,23.036,21.124,2.005,50.32
