U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm²)
0.645;0.641;0.638;0.639;0.633;3.138;87.252;0.87252
0.645;0.64;0.638;0.639;0.633;3.139;87.228;0.87228
0.645;0.64;0.638;0.639;0.633;3.138;87.189;0.87189
0.646;0.641;0.638;0.639;0.633;3.137;87.155;0.87155
0.645;0.64;0.638;0.639;0.633;3.137;87.155;0.87155
0.645;0.64;0.638;0.639;0.633;3.138;87.145;0.87145
0.646;0.641;0.639;0.639;0.633;3.139;87.086;0.87086
0.646;0.64;0.638;0.639;0.633;3.139;87.077;0.87077
0.646;0.641;0.639;0.64;0.633;3.139;87.057;0.87057
0.646;0.641;0.638;0.639;0.633;3.139;87.047;0.87047
0.646;0.641;0.639;0.64;0.633;3.139;87.052;0.87052
0.646;0.641;0.638;0.639;0.634;3.138;87.042;0.87042
0.646;0.641;0.639;0.64;0.634;3.141;87.003;0.87003
0.646;0.641;0.639;0.64;0.633;3.139;86.974;0.86974
0.646;0.641;0.639;0.64;0.634;3.14;86.959;0.86959
0.646;0.641;0.639;0.64;0.634;3.141;86.93;0.8693
0.647;0.641;0.639;0.64;0.634;3.141;86.891;0.86891
0.647;0.641;0.639;0.64;0.634;3.142;86.881;0.86881
0.647;0.641;0.639;0.64;0.634;3.141;86.862;0.86862
0.647;0.641;0.639;0.64;0.634;3.143;86.867;0.86867
0.647;0.641;0.639;0.64;0.634;3.142;86.837;0.86837
0.647;0.642;0.639;0.64;0.634;3.142;86.793;0.86793
0.647;0.641;0.639;0.64;0.634;3.144;86.779;0.86779
0.647;0.641;0.639;0.641;0.634;3.143;86.779;0.86779
0.647;0.641;0.639;0.64;0.634;3.144;86.764;0.86764
0.647;0.641;0.639;0.641;0.634;3.145;86.73;0.8673
0.647;0.641;0.639;0.64;0.634;3.144;86.696;0.86696
0.648;0.642;0.64;0.641;0.634;3.144;86.686;0.86686
0.647;0.641;0.639;0.64;0.634;3.144;86.686;0.86686
0.648;0.642;0.64;0.641;0.635;3.146;86.666;0.86666
0.648;0.641;0.639;0.641;0.634;3.145;86.642;0.86642
0.648;0.642;0.64;0.641;0.635;3.147;86.618;0.86618
0.647;0.642;0.639;0.641;0.634;3.145;86.583;0.86583
0.648;0.642;0.64;0.641;0.634;3.145;86.574;0.86574
0.648;0.642;0.64;0.641;0.635;3.146;86.544;0.86544
0.647;0.642;0.639;0.641;0.634;3.147;86.491;0.86491
0.648;0.642;0.64;0.641;0.635;3.146;86.486;0.86486
0.648;0.642;0.64;0.641;0.634;3.148;86.491;0.86491
0.647;0.642;0.64;0.641;0.634;3.148;86.491;0.86491
0.648;0.642;0.64;0.642;0.635;3.149;86.442;0.86442
0.648;0.642;0.64;0.641;0.634;3.148;86.398;0.86398
0.648;0.642;0.64;0.642;0.635;3.149;86.403;0.86403
0.648;0.642;0.64;0.642;0.635;3.149;86.383;0.86383
0.648;0.642;0.64;0.642;0.635;3.149;86.368;0.86368
0.648;0.642;0.64;0.641;0.635;3.148;86.339;0.86339
0.648;0.642;0.64;0.642;0.635;3.149;86.339;0.86339
0.648;0.642;0.64;0.641;0.634;3.147;86.29;0.8629
0.648;0.642;0.64;0.642;0.635;3.149;86.276;0.86276
0.648;0.642;0.64;0.642;0.635;3.149;86.276;0.86276
0.648;0.642;0.64;0.642;0.635;3.146;86.246;0.86246
0.648;0.643;0.641;0.642;0.635;3.15;86.207;0.86207
0.648;0.642;0.64;0.642;0.635;3.147;86.207;0.86207
0.649;0.643;0.641;0.643;0.635;3.151;86.183;0.86183
0.648;0.642;0.641;0.642;0.635;3.15;86.173;0.86173
0.649;0.643;0.641;0.642;0.635;3.151;86.168;0.86168
0.648;0.643;0.641;0.642;0.635;3.15;86.144;0.86144
0.649;0.643;0.642;0.643;0.636;3.154;86.085;0.86085
0.648;0.643;0.641;0.642;0.635;3.152;86.1;0.861
0.649;0.643;0.642;0.643;0.636;3.154;86.071;0.86071
0.648;0.643;0.641;0.642;0.636;3.152;86.066;0.86066
0.649;0.643;0.642;0.642;0.636;3.155;86.046;0.86046
0.649;0.643;0.642;0.643;0.636;3.153;85.988;0.85988
0.649;0.643;0.641;0.642;0.636;3.154;85.992;0.85992
0.649;0.644;0.642;0.643;0.636;3.155;85.988;0.85988
0.649;0.643;0.641;0.643;0.636;3.154;85.963;0.85963
0.649;0.644;0.642;0.644;0.637;3.156;85.89;0.8589
0.649;0.643;0.642;0.643;0.636;3.154;85.895;0.85895
0.649;0.644;0.643;0.644;0.637;3.155;85.89;0.8589
0.649;0.643;0.642;0.643;0.636;3.155;85.875;0.85875
0.649;0.644;0.642;0.643;0.637;3.156;85.87;0.8587
0.649;0.643;0.641;0.643;0.636;3.154;85.841;0.85841
0.65;0.644;0.643;0.644;0.637;3.156;85.797;0.85797
0.649;0.643;0.642;0.642;0.636;3.155;85.787;0.85787
0.65;0.644;0.643;0.644;0.637;3.158;85.792;0.85792
0.65;0.644;0.643;0.644;0.637;3.158;85.758;0.85758
0.65;0.644;0.643;0.644;0.636;3.157;85.695;0.85695
0.65;0.644;0.643;0.644;0.637;3.159;85.699;0.85699
0.649;0.644;0.642;0.643;0.636;3.156;85.685;0.85685
0.65;0.644;0.643;0.644;0.637;3.159;85.675;0.85675
0.649;0.644;0.643;0.644;0.637;3.159;85.636;0.85636
0.65;0.645;0.643;0.644;0.637;3.16;85.592;0.85592
0.649;0.644;0.643;0.643;0.637;3.158;85.607;0.85607
0.65;0.644;0.643;0.644;0.637;3.16;85.602;0.85602
0.65;0.644;0.643;0.644;0.637;3.16;85.587;0.85587
0.65;0.645;0.643;0.644;0.637;3.16;85.558;0.85558
0.65;0.645;0.644;0.644;0.638;3.16;85.509;0.85509
0.65;0.644;0.643;0.644;0.637;3.16;85.499;0.85499
0.65;0.645;0.644;0.645;0.637;3.161;85.499;0.85499
0.65;0.644;0.643;0.644;0.637;3.16;85.494;0.85494
0.65;0.645;0.643;0.644;0.638;3.161;85.475;0.85475
0.65;0.644;0.643;0.644;0.637;3.16;85.441;0.85441
0.65;0.645;0.644;0.644;0.638;3.162;85.392;0.85392
0.651;0.646;0.644;0.645;0.638;3.163;85.377;0.85377
0.65;0.645;0.643;0.644;0.637;3.163;85.367;0.85367
0.65;0.645;0.644;0.644;0.637;3.161;85.377;0.85377
0.65;0.645;0.644;0.645;0.638;3.162;85.338;0.85338
0.65;0.645;0.644;0.645;0.638;3.162;85.299;0.85299
0.65;0.645;0.643;0.644;0.638;3.162;85.304;0.85304
0.65;0.645;0.644;0.645;0.638;3.162;85.27;0.8527
0.65;0.645;0.643;0.645;0.638;3.163;85.27;0.8527
0.65;0.645;0.644;0.645;0.638;3.163;85.245;0.85245
0.65;0.645;0.644;0.645;0.638;3.165;85.196;0.85196
0.65;0.645;0.644;0.645;0.638;3.163;85.196;0.85196
0.651;0.646;0.644;0.645;0.638;3.166;85.162;0.85162
0.65;0.645;0.644;0.645;0.638;3.163;85.143;0.85143
0.65;0.645;0.644;0.645;0.638;3.165;85.104;0.85104
0.65;0.645;0.644;0.645;0.638;3.164;85.104;0.85104
0.651;0.646;0.645;0.646;0.639;3.165;85.094;0.85094
0.65;0.645;0.644;0.645;0.638;3.165;85.079;0.85079
0.651;0.646;0.644;0.646;0.638;3.166;85.05;0.8505
0.65;0.646;0.644;0.645;0.638;3.166;85.006;0.85006
0.651;0.646;0.645;0.646;0.639;3.166;85.011;0.85011
0.65;0.646;0.644;0.645;0.638;3.166;85.006;0.85006
0.651;0.646;0.644;0.645;0.638;3.166;84.962;0.84962
0.651;0.646;0.645;0.646;0.639;3.168;84.977;0.84977
0.651;0.646;0.644;0.645;0.639;3.166;84.933;0.84933
0.651;0.646;0.644;0.645;0.639;3.167;84.908;0.84908
0.651;0.647;0.645;0.646;0.639;3.167;84.889;0.84889
0.651;0.647;0.645;0.646;0.639;3.171;84.85;0.8485
0.651;0.646;0.644;0.645;0.639;3.167;84.85;0.8485
0.651;0.646;0.645;0.646;0.639;3.169;84.811;0.84811
0.651;0.646;0.645;0.646;0.639;3.167;84.811;0.84811
0.651;0.646;0.645;0.646;0.639;3.17;84.811;0.84811
0.651;0.646;0.645;0.646;0.639;3.169;84.742;0.84742
0.651;0.646;0.644;0.646;0.639;3.167;84.762;0.84762
0.651;0.647;0.645;0.646;0.639;3.17;84.732;0.84732
0.651;0.646;0.645;0.646;0.639;3.17;84.698;0.84698
0.651;0.646;0.645;0.646;0.639;3.171;84.654;0.84654
0.651;0.647;0.645;0.646;0.639;3.17;84.669;0.84669
0.651;0.646;0.645;0.646;0.639;3.17;84.654;0.84654
0.651;0.647;0.645;0.646;0.639;3.171;84.625;0.84625
0.651;0.647;0.645;0.646;0.639;3.169;84.615;0.84615
0.651;0.647;0.645;0.646;0.639;3.171;84.61;0.8461
0.651;0.647;0.645;0.646;0.639;3.169;84.552;0.84552
0.651;0.646;0.645;0.646;0.639;3.169;84.537;0.84537
0.651;0.647;0.645;0.646;0.639;3.17;84.547;0.84547
0.651;0.646;0.645;0.646;0.639;3.17;84.498;0.84498
0.651;0.647;0.645;0.646;0.639;3.171;84.464;0.84464
0.651;0.646;0.645;0.646;0.639;3.171;84.444;0.84444
0.651;0.647;0.645;0.646;0.64;3.171;84.444;0.84444
0.651;0.647;0.645;0.646;0.639;3.171;84.42;0.8442
0.651;0.647;0.645;0.646;0.64;3.172;84.415;0.84415
0.652;0.647;0.645;0.647;0.64;3.172;84.371;0.84371
0.652;0.647;0.646;0.647;0.64;3.174;84.356;0.84356
0.651;0.647;0.645;0.647;0.64;3.171;84.327;0.84327
0.652;0.647;0.646;0.647;0.64;3.175;84.307;0.84307
0.651;0.647;0.645;0.646;0.64;3.171;84.298;0.84298
0.652;0.647;0.646;0.647;0.64;3.175;84.249;0.84249
0.652;0.647;0.645;0.647;0.64;3.172;84.244;0.84244
0.652;0.648;0.646;0.647;0.64;3.176;84.215;0.84215
0.652;0.647;0.646;0.647;0.64;3.173;84.224;0.84224
0.652;0.648;0.646;0.648;0.641;3.177;84.19;0.8419
0.652;0.647;0.646;0.647;0.64;3.175;84.166;0.84166
0.652;0.648;0.646;0.647;0.641;3.177;84.146;0.84146
0.652;0.648;0.646;0.648;0.641;3.175;84.122;0.84122
0.652;0.648;0.647;0.648;0.64;3.178;84.112;0.84112
0.652;0.648;0.646;0.648;0.64;3.177;84.097;0.84097
0.652;0.648;0.646;0.648;0.641;3.176;84.073;0.84073
0.652;0.648;0.646;0.648;0.641;3.177;84.049;0.84049
0.652;0.648;0.646;0.648;0.641;3.176;84.044;0.84044
0.652;0.647;0.646;0.648;0.64;3.177;84.029;0.84029
0.653;0.648;0.647;0.648;0.641;3.178;84.01;0.8401
0.652;0.648;0.647;0.648;0.641;3.179;83.941;0.83941
0.652;0.648;0.647;0.648;0.641;3.178;83.927;0.83927
0.652;0.648;0.647;0.648;0.641;3.179;83.917;0.83917
0.652;0.648;0.647;0.649;0.641;3.181;83.922;0.83922
0.652;0.648;0.647;0.648;0.641;3.179;83.917;0.83917
0.652;0.648;0.647;0.648;0.641;3.179;83.902;0.83902
0.653;0.648;0.647;0.649;0.641;3.182;83.834;0.83834
0.653;0.648;0.648;0.649;0.641;3.18;83.824;0.83824
0.652;0.648;0.647;0.648;0.641;3.18;83.829;0.83829
0.653;0.648;0.648;0.649;0.642;3.18;83.809;0.83809
0.653;0.648;0.647;0.649;0.641;3.181;83.8;0.838
0.653;0.648;0.647;0.648;0.641;3.18;83.741;0.83741
0.653;0.648;0.648;0.649;0.641;3.182;83.741;0.83741
0.653;0.648;0.647;0.649;0.641;3.179;83.721;0.83721
0.653;0.648;0.648;0.649;0.641;3.182;83.726;0.83726
0.653;0.648;0.647;0.649;0.642;3.18;83.697;0.83697
0.653;0.648;0.647;0.649;0.641;3.181;83.648;0.83648
0.653;0.648;0.648;0.649;0.642;3.181;83.648;0.83648
0.653;0.648;0.647;0.648;0.641;3.18;83.624;0.83624
0.653;0.648;0.648;0.649;0.642;3.181;83.614;0.83614
0.653;0.648;0.647;0.649;0.641;3.181;83.599;0.83599
0.653;0.649;0.648;0.649;0.642;3.182;83.555;0.83555
0.653;0.649;0.648;0.649;0.642;3.183;83.497;0.83497
0.653;0.649;0.648;0.649;0.642;3.182;83.511;0.83511
0.653;0.649;0.648;0.649;0.642;3.182;83.502;0.83502
0.654;0.649;0.648;0.649;0.642;3.185;83.448;0.83448
0.653;0.649;0.648;0.649;0.642;3.182;83.458;0.83458
0.653;0.649;0.648;0.649;0.642;3.184;83.443;0.83443
0.653;0.649;0.648;0.649;0.642;3.184;83.414;0.83414
0.654;0.649;0.649;0.65;0.642;3.187;83.394;0.83394
0.654;0.649;0.648;0.65;0.643;3.186;83.35;0.8335
0.653;0.649;0.648;0.649;0.642;3.185;83.345;0.83345
0.654;0.649;0.648;0.65;0.642;3.186;83.34;0.8334
0.654;0.649;0.648;0.649;0.642;3.184;83.321;0.83321
0.654;0.649;0.648;0.65;0.642;3.186;83.292;0.83292
0.654;0.649;0.649;0.65;0.643;3.187;83.267;0.83267
0.654;0.649;0.648;0.65;0.642;3.187;83.253;0.83253
0.654;0.65;0.649;0.65;0.642;3.187;83.243;0.83243
0.654;0.65;0.649;0.65;0.643;3.187;83.223;0.83223
0.654;0.65;0.649;0.65;0.643;3.187;83.204;0.83204
0.654;0.649;0.649;0.65;0.643;3.187;83.155;0.83155
0.654;0.65;0.649;0.65;0.643;3.187;83.155;0.83155
0.654;0.649;0.649;0.649;0.643;3.187;83.155;0.83155
0.655;0.65;0.649;0.65;0.643;3.188;83.116;0.83116
0.654;0.65;0.649;0.65;0.643;3.187;83.091;0.83091
0.655;0.65;0.649;0.65;0.643;3.189;83.052;0.83052
0.654;0.65;0.649;0.65;0.643;3.188;83.052;0.83052
0.655;0.65;0.649;0.65;0.643;3.189;83.047;0.83047
0.654;0.65;0.649;0.65;0.642;3.187;83.033;0.83033
0.655;0.65;0.649;0.651;0.643;3.19;82.984;0.82984
0.655;0.65;0.649;0.65;0.643;3.19;82.959;0.82959
0.654;0.65;0.65;0.65;0.643;3.19;82.95;0.8295
0.655;0.65;0.65;0.65;0.643;3.191;82.955;0.82955
0.654;0.65;0.649;0.65;0.643;3.191;82.935;0.82935
0.655;0.65;0.65;0.651;0.643;3.192;82.911;0.82911
0.654;0.65;0.65;0.65;0.643;3.19;82.862;0.82862
0.655;0.65;0.65;0.65;0.643;3.192;82.842;0.82842
0.655;0.651;0.65;0.651;0.644;3.193;82.842;0.82842
0.655;0.65;0.65;0.65;0.643;3.191;82.789;0.82789
0.655;0.651;0.65;0.651;0.644;3.193;82.759;0.82759
0.655;0.651;0.65;0.65;0.643;3.192;82.759;0.82759
0.655;0.651;0.65;0.651;0.643;3.192;82.769;0.82769
0.655;0.651;0.65;0.651;0.644;3.192;82.745;0.82745
0.655;0.651;0.65;0.651;0.643;3.192;82.71;0.8271
0.655;0.651;0.65;0.651;0.644;3.193;82.662;0.82662
0.654;0.651;0.65;0.65;0.643;3.192;82.662;0.82662
0.655;0.651;0.65;0.651;0.644;3.193;82.662;0.82662
0.655;0.651;0.65;0.651;0.644;3.193;82.598;0.82598
0.655;0.651;0.65;0.651;0.644;3.193;82.608;0.82608
0.655;0.651;0.65;0.651;0.644;3.193;82.618;0.82618
0.655;0.651;0.651;0.651;0.644;3.193;82.579;0.82579
0.654;0.651;0.65;0.651;0.643;3.193;82.559;0.82559
0.655;0.651;0.651;0.651;0.644;3.197;82.515;0.82515
0.655;0.651;0.65;0.651;0.644;3.194;82.496;0.82496
0.656;0.651;0.651;0.652;0.644;3.196;82.461;0.82461
0.655;0.651;0.65;0.651;0.644;3.196;82.466;0.82466
0.656;0.652;0.651;0.651;0.644;3.196;82.456;0.82456
0.655;0.651;0.651;0.651;0.644;3.195;82.447;0.82447
0.656;0.652;0.651;0.652;0.644;3.197;82.388;0.82388
0.655;0.651;0.651;0.651;0.644;3.196;82.369;0.82369
0.656;0.652;0.651;0.652;0.645;3.197;82.369;0.82369
0.656;0.652;0.651;0.652;0.644;3.197;82.359;0.82359
0.656;0.652;0.651;0.652;0.644;3.197;82.31;0.8231
0.656;0.652;0.651;0.652;0.644;3.197;82.29;0.8229
0.656;0.652;0.651;0.652;0.645;3.197;82.266;0.82266
0.656;0.652;0.651;0.652;0.645;3.199;82.266;0.82266
0.656;0.652;0.651;0.652;0.645;3.197;82.266;0.82266
0.656;0.652;0.651;0.652;0.645;3.198;82.198;0.82198
0.656;0.652;0.651;0.652;0.645;3.198;82.202;0.82202
0.656;0.652;0.651;0.652;0.645;3.198;82.232;0.82232
0.656;0.652;0.651;0.652;0.645;3.198;82.168;0.82168
0.656;0.652;0.652;0.652;0.645;3.2;82.163;0.82163
0.656;0.652;0.651;0.652;0.645;3.199;82.105;0.82105
0.656;0.652;0.651;0.652;0.645;3.2;82.09;0.8209
0.656;0.652;0.651;0.652;0.645;3.199;82.115;0.82115
0.656;0.652;0.651;0.652;0.645;3.2;82.09;0.8209
0.656;0.652;0.652;0.653;0.645;3.201;82.041;0.82041
0.656;0.652;0.651;0.652;0.645;3.202;82.012;0.82012
0.657;0.652;0.652;0.653;0.645;3.202;82.002;0.82002
0.656;0.652;0.651;0.652;0.645;3.201;81.978;0.81978
0.657;0.653;0.652;0.653;0.646;3.203;81.978;0.81978
0.657;0.652;0.651;0.652;0.645;3.202;81.963;0.81963
0.657;0.653;0.653;0.654;0.646;3.205;81.924;0.81924
0.657;0.652;0.652;0.653;0.645;3.203;81.89;0.8189
0.657;0.652;0.652;0.653;0.646;3.203;81.875;0.81875
0.656;0.652;0.651;0.653;0.645;3.203;81.88;0.8188
0.657;0.652;0.652;0.653;0.645;3.203;81.88;0.8188
0.656;0.652;0.652;0.653;0.645;3.202;81.817;0.81817
0.656;0.652;0.652;0.653;0.645;3.202;81.792;0.81792
0.657;0.653;0.652;0.653;0.646;3.203;81.802;0.81802
0.656;0.653;0.652;0.653;0.646;3.204;81.758;0.81758
0.657;0.653;0.653;0.653;0.646;3.203;81.704;0.81704
0.657;0.653;0.652;0.653;0.646;3.204;81.714;0.81714
0.657;0.653;0.653;0.653;0.646;3.203;81.69;0.8169
0.657;0.653;0.652;0.653;0.646;3.204;81.695;0.81695
0.657;0.653;0.653;0.654;0.646;3.205;81.685;0.81685
0.657;0.653;0.653;0.654;0.646;3.207;81.67;0.8167
0.657;0.653;0.653;0.654;0.646;3.206;81.631;0.81631
0.657;0.653;0.653;0.654;0.646;3.207;81.592;0.81592
0.658;0.653;0.653;0.654;0.646;3.207;81.587;0.81587
0.658;0.653;0.653;0.654;0.646;3.206;81.602;0.81602
0.658;0.653;0.653;0.654;0.646;3.208;81.592;0.81592
0.658;0.653;0.653;0.654;0.646;3.208;81.568;0.81568
0.658;0.654;0.653;0.654;0.646;3.209;81.543;0.81543
0.658;0.653;0.653;0.654;0.647;3.207;81.543;0.81543
0.658;0.654;0.653;0.654;0.647;3.209;81.499;0.81499
0.658;0.654;0.653;0.654;0.647;3.207;81.47;0.8147
0.658;0.654;0.653;0.654;0.647;3.209;81.475;0.81475
0.658;0.653;0.653;0.654;0.647;3.208;81.475;0.81475
0.658;0.654;0.653;0.654;0.647;3.209;81.445;0.81445
0.658;0.654;0.653;0.654;0.647;3.208;81.392;0.81392
0.659;0.654;0.654;0.655;0.647;3.212;81.367;0.81367
0.658;0.654;0.653;0.654;0.647;3.209;81.362;0.81362
0.659;0.654;0.654;0.655;0.647;3.211;81.358;0.81358
0.658;0.654;0.653;0.654;0.647;3.209;81.338;0.81338
0.659;0.655;0.654;0.655;0.647;3.213;81.294;0.81294
0.659;0.654;0.654;0.654;0.647;3.212;81.265;0.81265
0.659;0.655;0.654;0.655;0.647;3.213;81.265;0.81265
0.659;0.655;0.654;0.655;0.647;3.212;81.231;0.81231
0.659;0.655;0.654;0.655;0.647;3.213;81.201;0.81201
0.659;0.655;0.654;0.655;0.647;3.214;81.196;0.81196
0.659;0.655;0.654;0.655;0.648;3.214;81.172;0.81172
0.659;0.655;0.654;0.655;0.648;3.214;81.148;0.81148
0.658;0.655;0.654;0.655;0.647;3.213;81.157;0.81157
0.659;0.655;0.654;0.655;0.648;3.214;81.143;0.81143
0.659;0.655;0.654;0.655;0.647;3.214;81.094;0.81094
0.659;0.655;0.654;0.655;0.648;3.214;81.079;0.81079
0.659;0.655;0.654;0.655;0.648;3.214;81.069;0.81069
0.659;0.655;0.654;0.655;0.648;3.214;81.069;0.81069
0.659;0.655;0.654;0.655;0.648;3.214;81.045;0.81045
0.659;0.655;0.654;0.655;0.648;3.214;80.996;0.80996
0.659;0.656;0.655;0.656;0.648;3.215;80.972;0.80972
0.659;0.655;0.654;0.655;0.648;3.216;80.967;0.80967
0.659;0.655;0.654;0.655;0.648;3.215;80.928;0.80928
0.659;0.656;0.655;0.656;0.648;3.217;80.903;0.80903
0.659;0.655;0.655;0.656;0.648;3.215;80.894;0.80894
0.659;0.655;0.655;0.656;0.648;3.217;80.864;0.80864
0.659;0.655;0.655;0.655;0.648;3.215;80.835;0.80835
0.66;0.656;0.655;0.656;0.648;3.219;80.806;0.80806
0.659;0.655;0.654;0.655;0.648;3.215;80.806;0.80806
0.66;0.656;0.655;0.656;0.648;3.218;80.791;0.80791
0.66;0.656;0.655;0.656;0.648;3.218;80.752;0.80752
0.659;0.655;0.654;0.655;0.648;3.216;80.747;0.80747
0.66;0.656;0.655;0.656;0.649;3.218;80.723;0.80723
0.659;0.656;0.655;0.656;0.648;3.219;80.708;0.80708
0.66;0.656;0.655;0.656;0.649;3.219;80.664;0.80664
0.66;0.656;0.655;0.656;0.648;3.218;80.659;0.80659
0.66;0.656;0.655;0.656;0.649;3.22;80.635;0.80635
0.659;0.656;0.655;0.656;0.648;3.218;80.615;0.80615
0.66;0.656;0.655;0.656;0.649;3.22;80.61;0.8061
0.66;0.656;0.655;0.656;0.649;3.219;80.586;0.80586
0.66;0.656;0.656;0.656;0.649;3.221;80.581;0.80581
0.66;0.656;0.655;0.656;0.648;3.218;80.561;0.80561
0.66;0.656;0.655;0.656;0.649;3.22;80.527;0.80527
0.66;0.656;0.655;0.656;0.648;3.22;80.513;0.80513
0.661;0.657;0.655;0.656;0.649;3.22;80.498;0.80498
0.661;0.656;0.655;0.656;0.649;3.221;80.469;0.80469
0.661;0.657;0.655;0.656;0.649;3.222;80.444;0.80444
0.661;0.656;0.655;0.656;0.649;3.222;80.459;0.80459
0.661;0.656;0.656;0.656;0.649;3.223;80.415;0.80415
0.661;0.656;0.655;0.656;0.649;3.223;80.4;0.804
0.662;0.657;0.656;0.657;0.649;3.223;80.356;0.80356
0.661;0.657;0.656;0.656;0.649;3.224;80.332;0.80332
0.662;0.657;0.656;0.657;0.649;3.224;80.317;0.80317
0.661;0.657;0.656;0.657;0.649;3.225;80.312;0.80312
0.662;0.657;0.656;0.657;0.649;3.225;80.303;0.80303
0.662;0.657;0.656;0.657;0.649;3.224;80.264;0.80264
0.662;0.657;0.656;0.657;0.649;3.225;80.259;0.80259
0.662;0.657;0.656;0.657;0.649;3.224;80.234;0.80234
0.662;0.657;0.656;0.657;0.65;3.226;80.22;0.8022
0.662;0.657;0.656;0.657;0.649;3.225;80.21;0.8021
0.662;0.657;0.656;0.657;0.65;3.226;80.151;0.80151
0.662;0.657;0.656;0.657;0.65;3.225;80.137;0.80137
0.662;0.657;0.656;0.657;0.65;3.227;80.117;0.80117
0.662;0.657;0.656;0.657;0.65;3.225;80.112;0.80112
0.662;0.657;0.656;0.657;0.65;3.226;80.102;0.80102
0.662;0.657;0.656;0.657;0.65;3.226;80.049;0.80049
0.662;0.657;0.656;0.657;0.65;3.226;80.058;0.80058
0.662;0.657;0.656;0.657;0.65;3.226;80.024;0.80024
0.662;0.656;0.656;0.657;0.65;3.226;80.024;0.80024
0.662;0.657;0.656;0.657;0.65;3.225;80.019;0.80019
0.662;0.657;0.656;0.657;0.65;3.227;80;0.8
0.662;0.657;0.656;0.657;0.65;3.226;79.941;0.79941
0.662;0.657;0.657;0.657;0.65;3.227;79.927;0.79927
0.662;0.657;0.657;0.657;0.65;3.226;79.922;0.79922
0.662;0.657;0.657;0.657;0.65;3.229;79.902;0.79902
0.662;0.657;0.657;0.658;0.65;3.228;79.839;0.79839
0.662;0.657;0.657;0.657;0.65;3.229;79.839;0.79839
0.663;0.657;0.657;0.658;0.65;3.227;79.839;0.79839
0.663;0.657;0.657;0.658;0.651;3.23;79.824;0.79824
0.662;0.657;0.657;0.658;0.651;3.229;79.809;0.79809
0.663;0.658;0.657;0.658;0.651;3.23;79.761;0.79761
0.663;0.658;0.657;0.658;0.651;3.23;79.765;0.79765
0.663;0.658;0.657;0.658;0.651;3.231;79.736;0.79736
0.663;0.657;0.657;0.658;0.651;3.228;79.726;0.79726
0.663;0.658;0.657;0.658;0.651;3.231;79.697;0.79697
0.662;0.657;0.657;0.658;0.651;3.23;79.643;0.79643
0.663;0.658;0.658;0.658;0.651;3.231;79.643;0.79643
0.663;0.658;0.657;0.658;0.651;3.231;79.619;0.79619
0.663;0.658;0.658;0.658;0.651;3.231;79.634;0.79634
0.663;0.658;0.658;0.658;0.651;3.232;79.609;0.79609
0.663;0.658;0.658;0.658;0.651;3.232;79.555;0.79555
0.663;0.658;0.658;0.659;0.651;3.233;79.546;0.79546
0.663;0.658;0.658;0.659;0.651;3.232;79.531;0.79531
0.663;0.658;0.657;0.658;0.651;3.233;79.482;0.79482
0.663;0.658;0.658;0.659;0.652;3.234;79.448;0.79448
0.663;0.658;0.658;0.658;0.651;3.234;79.443;0.79443
0.663;0.658;0.658;0.659;0.652;3.234;79.438;0.79438
0.663;0.658;0.658;0.658;0.651;3.235;79.424;0.79424
0.664;0.658;0.658;0.659;0.652;3.236;79.428;0.79428
0.663;0.658;0.658;0.659;0.652;3.234;79.399;0.79399
0.663;0.658;0.658;0.659;0.652;3.236;79.345;0.79345
0.663;0.658;0.658;0.659;0.652;3.234;79.35;0.7935
0.663;0.659;0.658;0.659;0.652;3.236;79.336;0.79336
0.664;0.659;0.658;0.659;0.652;3.234;79.311;0.79311
0.664;0.659;0.659;0.659;0.652;3.236;79.253;0.79253
0.663;0.659;0.658;0.659;0.652;3.236;79.262;0.79262
0.664;0.659;0.658;0.659;0.652;3.236;79.257;0.79257
0.664;0.659;0.658;0.659;0.652;3.236;79.257;0.79257
0.664;0.659;0.658;0.659;0.652;3.236;79.209;0.79209
0.664;0.659;0.659;0.659;0.652;3.237;79.16;0.7916
0.664;0.659;0.659;0.659;0.652;3.237;79.155;0.79155
0.664;0.659;0.659;0.66;0.653;3.238;79.155;0.79155
0.664;0.659;0.659;0.659;0.652;3.238;79.135;0.79135
0.664;0.659;0.659;0.66;0.652;3.237;79.126;0.79126
0.664;0.659;0.659;0.659;0.653;3.236;79.111;0.79111
0.664;0.659;0.659;0.659;0.653;3.239;79.052;0.79052
0.664;0.659;0.659;0.66;0.653;3.239;79.052;0.79052
0.664;0.659;0.659;0.659;0.652;3.24;79.023;0.79023
0.664;0.659;0.659;0.66;0.653;3.239;78.994;0.78994
0.664;0.659;0.659;0.66;0.653;3.239;78.96;0.7896
0.664;0.659;0.659;0.659;0.653;3.24;78.955;0.78955
0.664;0.659;0.659;0.66;0.653;3.238;78.955;0.78955
0.664;0.659;0.659;0.66;0.653;3.241;78.94;0.7894
0.664;0.659;0.659;0.66;0.653;3.239;78.95;0.7895
0.664;0.659;0.659;0.66;0.653;3.24;78.901;0.78901
0.664;0.659;0.659;0.66;0.653;3.239;78.852;0.78852
0.664;0.659;0.659;0.66;0.653;3.241;78.857;0.78857
0.664;0.659;0.659;0.66;0.653;3.239;78.813;0.78813
0.664;0.659;0.659;0.66;0.653;3.241;78.823;0.78823
